HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
425,15/01/2024,January,SGS,Third Party Inspection/ Audit,Fire Gap Assessment Report   ,Fire Risk Assessment,Explosion proof electrical lights and DPs required at High dust area.,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
426,15/01/2024,January,SGS,Third Party Inspection/ Audit,Fire Gap Assessment Report   ,Fire Risk Assessment,Removal of petrol cans required at safe area.,High,ESD,Adeel Siddiqui  ,To be Decided,Done,
427,15/01/2024,January,SGS,Third Party Inspection/ Audit,Fire Gap Assessment Report   ,Fire Risk Assessment,Wiring maintenance and its inspection shall be performed. Temperature raise shall not be more than 27 Degree centigrade. 7.1.2.2 BCP 2016 Electrical fire safety general 7.1.1 BCP 2016,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
428,15/01/2024,January,SGS,Third Party Inspection/ Audit,Fire Gap Assessment Report   ,Fire Risk Assessment,Safe storage must be made for cylinders. Suggested to make cage with provision of chains to store the cylinder in standing position. BCP 2016 (3.3.126 )Hazardous Materials Storage,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
429,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"Impose madatory PPEs (helmets with chin strap, gloves, goggles)",Medium,PRJ,Khurram Raza,Immediate,Done,
430,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,update inventory and it should be with 25% above.,Medium,PRJ,Khurram Raza,Immediate,Done,
431,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,replace damaged wires with proper insulated ones,High,PRJ,Khurram Raza,Immediate,Done,
432,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"apply  mid rails, guardrails, toe boards.",High,PRJ,Khurram Raza,Immediate,Done,
433,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,apply ladder and inspect them on regular babsis,Medium,PRJ,Khurram Raza,Immediate,Done,
434,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"regular housekeeping required, dedictaed team for clearing site.",Medium,PRJ,Khurram Raza,Immediate,Done,
435,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"fire extinghuisher should be present, especially for hot works.",High,PRJ,Khurram Raza,Immediate,Done,
436,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,fire watch should be present while hot work job is being carried out,Medium,PRJ,Khurram Raza,Immediate,Done,
437,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,monthly inspection is mandatory for tools,Medium,PRJ,Khurram Raza,Immediate,Done,
438,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,signages are required across the site,Low,PRJ,Khurram Raza,Immediate,Done,
439,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,lighting source is required in areas with low illumination,Medium,PRJ,Khurram Raza,Immediate,Done,
440,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,identify and put signages at exit routes,Medium,PRJ,Khurram Raza,Immediate,Done,
441,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"apply  mid rails, guardrails, toe boards. And access ladder.",High,PRJ,Khurram Raza,Immediate,Done,
442,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Arrange approved fire-rated  cabinets for site.,Medium,PRJ,Khurram Raza,Immediate,Done,
443,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,ladders are required for scaffolding.,High,PRJ,Khurram Raza,Immediate,Done,
444,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,training should be conducted on ERP.,Medium,PRJ,Khurram Raza,Immediate,Done,
445,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Fire blankets are required fot hot hot work.,High,PRJ,Khurram Raza,Immediate,Done,
446,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"labeling should be done on tools, scaffolding",Medium,PRJ,Khurram Raza,Immediate,Done,
447,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"regular housekeeping required, dedictaed team for clearing site.",Medium,PRJ,Khurram Raza,Immediate,Done,
448,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,training should be conducted on hand tool safety.,Medium,HSE,Naveed Taqvi,Immediate,Done,
449,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,grounding and bonding are required for electrical panels.,Medium,PRJ,Khurram Raza,Immediate,Done,
450,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,ememrgency contact should be displayed across site.,Medium,PRJ,Khurram Raza,Immediate,Done,
451,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Fire watch is mandatory for hot work. ,Medium,PRJ,Khurram Raza,Immediate,Done,
452,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,impose use of double point full  body harness,High,PRJ,Khurram Raza,Immediate,Done,
453,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Barrication required for areas.,High,PRJ,Khurram Raza,Immediate,Done,
454,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Toe boards should be installed at open edges.,High,PRJ,Khurram Raza,Immediate,Done,
455,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Conduct a training regarding use of ladder.,Medium,PRJ,Khurram Raza,Immediate,Done,
456,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Regularly removal of debris is required.,Medium,PRJ,Khurram Raza,Immediate,Done,
457,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"Labelling required for storage area, and material should be seggregated.",High,PRJ,Khurram Raza,Immediate,Done,
458,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,"Clear walkways, stairs of material.",Medium,PRJ,Khurram Raza,Immediate,Done,
459,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,signages are required across the site,Medium,PRJ,Khurram Raza,Immediate,Done,
460,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Make pathways for electrical cords and hoses.,Medium,PRJ,Khurram Raza,Immediate,Done,
461,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Ensure cleaning of toilets for labour.,Medium,PRJ,Khurram Raza,Immediate,Done,
462,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,waste bins should be present for waste.,Medium,PRJ,Khurram Raza,Immediate,Done,
463,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Arrange trained scaffolders.,Medium,PRJ,Khurram Raza,Immediate,Done,
464,07/05/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit 3-Bed Site,3-Bed Site,Minimise the gap between wall and scaffolding.,Medium,PRJ,Khurram Raza,Immediate,Done,
465,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,sand should be removed from main door entrance ,Low,PRJ,Khurram Raza,To be Decided,Done,
466,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,emergency lights should be installed,Medium,HSE,Naveed Taqvi,To be Decided,WIP,
467,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"signages required such as, authorized personnel only. danger, do not operate ",Medium,HSE,Naveed Taqvi,To be Decided,WIP,
468,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,ducts or exhaust fans are required.,Medium,ESD,Adeel Siddiqui  ,To be Decided,Done,
469,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,cleaning is required on floor ,Low,ADM IR & HR,Shahid Bashir,To be Decided,Done,
470,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,LOTO not available ,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
471,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,Alarm system is required for start/failure ,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
472,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,cleaning is required of Diesel storage tank,Medium,ESD,Adeel Siddiqui  ,To be Decided,Done,
473,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,Removal of cosrrosion is required at one pipe on jockey pump line,Low,ESD,Adeel Siddiqui  ,To be Decided,Done,
474,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"water was accumulated on floor, floor should be levelled properly for draining water.",Medium,ESD,Adeel Siddiqui  ,To be Decided,Done,
475,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"ventilation required, no means of cooling available",Low,ESD,Adeel Siddiqui  ,To be Decided,Done,
476,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"Ear protection must be present and worn when diesel pump is running,  PPE box containing relevant/required PPE.",Medium,HSE,Naveed Taqvi,To be Decided,WIP,
477,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,Diesel Pumps should be tested and recorded on weekly basis,High,HSE,Adeel Siddiqui  ,To be Decided,Done,
478,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,insulation required at some cables.,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
479,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"no record of maintanance available, maintanace record should be available and maintained ",High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
480,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"SOP board is Faded in colour, require to change.",Low,HSE,Naveed Taqvi,To be Decided,Done,
481,07/04/2025,July,Yaseen,Critical / Specialist Audit Plan,Audit Fire Fighting Pump Room,Fire Fighting Pump Room,"cleaning required, remove combustible/flammeable material.",High,ESD,Adeel Siddiqui  ,To be Decided,Done,
482,24/06/2025,June,TUV Austria,Third Party Inspection/ Audit,Inspection of Ishida Hall - PMS Lift,Ishida Hall- PMS Lift,Service lift operational function should be maintained on regular basis.,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,
483,24/06/2025,June,TUV Austria,Third Party Inspection/ Audit,Inspection of Ishida Hall - PMS Lift,Ishida Hall- PMS Lift,Lifting/Hanging Capacity should be cleared marked on Servicer lift,High,ESD,Adeel Siddiqui  ,To be Decided,Done,
484,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Third Party Inspection Lifting Equipment,RMS-FLT-1",Load drop of 1 inch was observed over a time interval of 1 minute. Hence it recommended to maintain the hydraulic  system,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
485,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Third Party Inspection Lifting Equipment,RMS-FLT-1",Cut marks were observed on the reae tires. It is recommended to replace the rear tires ,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
486,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Third Party Inspection Lifting Equipment,RMS-FLT-1",Battery terminals covers were missing. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
487,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Third Party Inspection Lifting Equipment,RMS-FLT-1",Rear lights were not working. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
488,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Third Party Inspection Lifting Equipment, FGS-FLT-01",Load drop of 1 inch was observed over a time interval of 1 minute. Hence it recommended to maintain the hydraulic  system,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
489,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-FLT-01",L.H.S reverse light was not working. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
490,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-FLT-01",R.H.S side mirror was missing. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
491,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-FLT-01",Battery display was noot functioning. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
492,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-FLT-01",Horn was not fuctioning. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
493,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-FLT-01",Fork safety lock was found damaged. This should be rectified immediately.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
494,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment,FGS-FLT-02",Lubrication is required on load chain,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
495,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment,FGS-FLT-02",Front indicators and light were not working.This should be rectified. ,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
496,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment,FGS-FLT-02",Lights  were not working.This should be rectified. ,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
497,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment,FGS-FLT-02",R.H.S side mirror was missing. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
498,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment,FGS-FLT-02",Cut marks were observed on the reae tires. It is recommended to replace the rear tires ,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
499,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Protection front glass was missing. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
500,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Battery cover Was damaged. This should be rectified.,Low,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
501,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Lubrication is required on load chain,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
502,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Emergency stop switch was missing. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
503,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Electrical panel cover was missing. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
504,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Housekeeping is required in the battery compartment.,Low,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
505,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O1",Horn was not fuctioning. This should be rectified.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
506,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O2",Protection front glass need to be replaced. This should be rectified.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
507,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O2",Drive handle screw is missing or not properly fixed.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
508,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O2",Lubrication is required on load chain.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
509,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O2",Housekeeping is required in the battery compartment.,Low,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
510,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O3",Drive wheel support is broken and needs to be replaced.,High,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
511,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O3",Lubrication is required on load chain.,Medium,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
512,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, FGS-STK-O3",Housekeeping is required in the battery compartment.,Low,Stores,Muhammad Sheeraz Khan,Q2 2025,Pending,
513,11/08/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection Lifting Equipment,"Lifting Equipment, Scissor Lift ",Equipment was not working.,High,ESD,Adeel Siddiqui  ,Q2 2025,Done,
514,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Fat Room Pallet Racks,Base plates are not secured with bolts.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
515,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Fat Room Pallet Racks,Safety pins on beams were missing in many locations.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
516,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Fat Room Pallet Racks,Bracing was found damaged on Rack-B(3rd upright),Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
517,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Fat Room Pallet Racks,Rack alignment was not proper.,Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
518,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Fat Room Pallet Racks,Load notices were not displayed on the racks.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
519,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Flavour Room Pallet Racks,Bracing was found bent on Rack-G(1st upright),Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
520,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,Flavour Room Pallet Racks,Load notices were not displayed on the racks.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
521,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,PMS Pallet Racks,Safety pins on beams were missing.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
522,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,PMS Pallet Racks,Load notices were not displayed on the racks.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
523,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Uprights were found damaged ar Rack-6(1st and 3rd upright).,Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
524,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,"Uprights were found damaged ar Rack-8(1st, 2nd and 3rd upright).",Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
525,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Uprights was found damaged ar Rack-11(10th upright).,Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
526,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Uprights was found damaged ar Rack-24(1st upright),Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
527,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,"Base plate nut was missing at 1st, 2nd, & 3rd upright.",High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
528,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Base plate was found damaged at 1st upright.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
529,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Beams and bracings were observed damaged at various locations.,Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
530,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks, FGS Pallet Racks,Load notices were not displayed on the racks.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
531,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,RMS Pallet Racks,Safety pin on Rack-B & C (2nd beam at 3rd upright) was not available.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
532,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,RMS Pallet Racks,Safety pin on Rack-D (2nd beam of backside at 3rd upright) was not available.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
533,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,RMS Pallet Racks,Safety pin on Rack-H (2nd beam between 2nd & 3rd upright) were not available.,High,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
534,4/11/2024 to 8/11/2024,Novmber,VELOSI,Third Party Inspection/ Audit,Third Party Inspection of Pallet/Racks,RMS Pallet Racks,"Bracing was observed bent on Rack-F (2nd upright), Rack-G (1st upright) & Rack-H (1st upright).",Medium,Stores,Muhammad Sheeraz Khan,To be Decided,Pending,
535,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Environmental Protection Act, 2014, Section 11, Prohibition of certain discharges or emissions and compliance with standards.",CBL needs to check ETP capability & comply the discharged wastewater with SEQS.,High,HSE,Naveed Taqvi,To be Decided,WIP,CAPEX 2026
536,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Environmental Protection Act, 2014, Section 13, Handling of hazardous substances",CBL needs to obtain hazardous substances NOC from SEPA.,High,HSE,Naveed Taqvi,To be Decided,Done,
537,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Environmental Protection Act, 2014, Section 15, Regulations of motor vehicles",CBL needs to conduct vehicular exhaust emissions monitoring regularly.,High,HSE,Naveed Taqvi,To be Decided,Done,Planned in Q4 2025
538,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Environmental Quality Standards (Self-Monitoring and Reporting by Industry) Rule, 
2014, Rule 9, Environmental Monitoring Report",CBL needs to conduct heavy metals analysis of gaseous emissions sources in every two years.,High,HSE,Naveed Taqvi,To be Decided,Pending,Planned in Q4 2026
539,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh 
Factories Act ,2015, Section 21 - 
Chapter III, Lighting ",CBL needs to ensure sufficient lighting in all areas of plant.,High,ESD,Adeel Siddiqui  ,To be Decided,WIP,
540,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Factories Act ,2015 Section 30 - Chapter III, Fencing of machinery",CBL needs to install complete fencing around moving parts of machinery.,High,ESD,Adeel Siddiqui  ,To be Decided,Pending,Machine guarding project budget OPEX in 2026
541,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Factories Act ,2015 Section 37 - Chapter III, Cranes and other lifting machinery",CBL needs to carry out lifting gears 3rd party inspection regularly.,High,HSE,Naveed Taqvi,To be Decided,Done,OPEx 2026
542,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Factories Act ,2015 Section 38 - Chapter III, Hoists and lifts",CBL needs to carry out lifting gears 3rd party inspection regularly.,High,HSE,Naveed Taqvi,To be Decided,Done,Being done
543,29/01/2025,January,SGS,Third Party Inspection/ Audit,Legal Gap Assesment,"The Sindh Factories Act ,2015 Section 47 - Chapter III, Power to make rules to supplement this Chapter",CBL must ensure the building stability test to be carried out after five year or any major changes/damages in the building structure.,High,PRJ,Khurram Raza,To be Decided,Pending,Budget plan in OPEX 2026
